行政區,段小段,地號,標示部面積,所有權登記次序,所有權持分類別,所有權持分分母,所有權持分分子,公告地價,申報地價,核定申報地價情形
中正區,福和段二小段,01800003,1197.0,0069,,2535732,4152,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800006,194.0,0069,,2535732,4152,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800005,8166.0,0069,,2535732,4152,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800010,97.0,0069,,2535732,4152,"59,900","71,880",按公告地價120%申報
中正區,永昌段一小段,00780001,22.0,0005,A,1,1,"112,000","134,400",按公告地價120%申報
中正區,河堤段六小段,02210015,5.0,0013,,2,1,"75,400","90,480",按公告地價120%申報
中正區,河堤段六小段,02210014,5.0,0018,,2,1,"75,400","90,480",按公告地價120%申報
中正區,河堤段六小段,02210011,8.0,0016,,2,1,"75,400","90,480",按公告地價120%申報
中正區,河堤段六小段,02210012,9.0,0019,,2,1,"75,400","90,480",按公告地價120%申報
中正區,河堤段六小段,02210008,18.0,0014,,2,1,"75,400","90,480",按公告地價120%申報
中正區,河堤段六小段,02210003,53.0,0016,,2,1,"82,300","98,760",按公告地價120%申報
中正區,福和段二小段,02230000,5141.0,0055,,24,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420000,2780.0,0056,,24,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420001,226.0,0056,,24,1,"59,900","71,880",按公告地價120%申報
萬華區,華江段三小段,04230000,3020.0,0001,,3018,81,"66,275","66,275",按公告地價100%申報
萬華區,萬華段二小段,02000000,552.0,0001,A,1,1,"66,843","66,843",按公告地價100%申報
萬華區,萬華段二小段,02530000,625.0,0001,A,1,1,"59,027","59,027",按公告地價100%申報
萬華區,萬華段二小段,08870000,503.0,0001,A,1,1,"101,532","101,532",按公告地價100%申報
萬華區,漢中段一小段,06030000,256.0,0001,A,1,1,"82,800","82,800",按公告地價100%申報
萬華區,漢中段一小段,06030004,186.0,0001,A,1,1,"82,800","82,800",按公告地價100%申報
萬華區,漢中段一小段,06050001,0.35,0001,A,1,1,"82,800","82,800",按公告地價100%申報
萬華區,漢中段一小段,06460000,241.0,0001,A,1,1,"272,000","272,000",按公告地價100%申報
萬華區,漢中段一小段,06480000,28.0,0001,A,1,1,"272,000","272,000",按公告地價100%申報
萬華區,漢中段一小段,06550000,924.0,0001,A,1,1,"165,381","165,381",按公告地價100%申報
萬華區,漢中段一小段,06530001,11.0,0001,A,1,1,"272,000","272,000",按公告地價100%申報
萬華區,漢中段一小段,06530000,76.0,0001,A,1,1,"272,000","272,000",按公告地價100%申報
萬華區,漢中段一小段,06520001,3.0,0001,A,1,1,"272,000","272,000",按公告地價100%申報
萬華區,漢中段一小段,06520000,363.0,0001,A,1,1,"272,000","272,000",按公告地價100%申報
萬華區,漢中段一小段,06510003,73.0,0001,A,1,1,"82,800","82,800",按公告地價100%申報
萬華區,漢中段一小段,06510000,1503.0,0001,A,1,1,"82,800","82,800",按公告地價100%申報
萬華區,漢中段一小段,06500000,261.0,0001,A,1,1,"82,800","82,800",按公告地價100%申報
萬華區,漢中段一小段,06490000,139.0,0001,A,1,1,"272,000","272,000",按公告地價100%申報
萬華區,漢中段一小段,06590000,13.0,0001,A,1,1,"190,538","190,538",按公告地價100%申報
萬華區,漢中段一小段,06580000,17.0,0001,A,1,1,"163,993","163,993",按公告地價100%申報
萬華區,漢中段一小段,06570001,2.0,0001,A,1,1,"82,800","82,800",按公告地價100%申報
萬華區,漢中段一小段,06570000,67.0,0001,A,1,1,"163,993","163,993",按公告地價100%申報
萬華區,漢中段一小段,06560002,70.0,0001,A,1,1,"162,439","162,439",按公告地價100%申報
萬華區,漢中段一小段,06560001,5.0,0001,A,1,1,"167,000","167,000",按公告地價100%申報
